word,meaning
D&D,"די אנד די (דאנג'נס אנד דרגונס), מו&quot;ד, &quot;מבוכים ודרקונים&quot;, משחק תפקידים דמיוני פופולרי"
DMV,"משרד הרישוי, משרד ממשלתי המסדיר ועוסק בכל הקשור לנסיעה ברכב (מנפיק רשיונות נהיגה, רישוי מכוניות וכו')"
DRAM,"זיכרון דינמי, הסוג הנפוץ של זיכרון RAM"
DTI,"(בריטי) אגף המסחר והתעשייה, מוסד ממשלתי למסחר ותעשייה"
"Dail Eireann","דול ארין, הבית התחתון האירי"
Dakota,"דקוטה, אזור בארה&quot;ב שחולק לשתיים בשנת 1889 (לדרום וצפון דקוטה);מדינת דרום דקוטה (ארה&quot;ב); מדינת צפון דקוטה (ארה&quot;ב); השבט האינדיאני סו בארה&quot;ב; בן שבט סו האינדיאני"
Dali,"דאלי, שם משפחה; סלבדור דלי (1904-1989), צייר ספרדי סוריאליסטי; עיר בדרום סין"
"Dan Shomron","דן שומרון (יליד 1937), הרמטכ&quot;ל ה-13 של מדינת ישראל"
Danysz,"דניז, שם משפחה; ז'אן דניז (1860-1928), פתולוג צרפתי יליד פולין"
Darjeeling,"דארג'ילינג, עיר בהודו; תה שחור שמגדלים בדארג'ילינג (הודו)"
"Dark Continent","&quot;היבשת השחורה&quot;, אפריקה; אזור לא ידוע ומסתורי"
Dartmouth,"דרתמות', עיר בדרום מזרח קנדה; עיר בדרום מזרח מסצ'וסטס (ארה&quot;ב); שמה של מכללה מפורסמת בניו המפשייר (ארה&quot;ב)"
Darwinian,"של תורת דרווין (תורת האבולוציה)"
Darwinianism,"דארוויניזם, דרוויניזם, תורת האבולוציה של צ'ארלס דרווין על ידי ברירה טבעית (התפתחות המינים, החזק שורד)"
"Dear Madam","ג&quot;נ, ג.נ., גברת נכבדה (פנייה בראש מכתב)"
Debbie,"דבי, שם פרטי לאישה"
"Deir al-Ballah","דיר אל-בלח (יישוב ערבי במרכז רצועת עזה)"
Deleb,"סלבריטי שכבר אינו בין החיים"
"Denzel Washington","דנזל וושינגטון (נולד ב-1954), שחקן טלוויזיה וקולנוע אמריקאי, זוכה פרס אוסקר לשנת 1990 בקטגורית שחקן המשנה על תפקידו בסרט &quot;גלורי&quot;"
Diego,"דייגו, שם פרטי לזכר; שם משפחה"
Dietrich,"דיטריך, שם משפחה (גרמני); שם פרטי לזכר (גרמני); מרלן דיטריך (1901-1992), שחקנית קולנוע וזמרת אמריקאית ילידת גרמניה"
"Digital Auto-stabilization Equipment","מכשור דיגיטלי לייצוב עצמי (במטוסים), DASE"
"Disco Corporation","חברה יפנית שנוסדה ב-1937 ומשרדיה פזורים בכל העולם (יפן, ארה&quot;ב, סין, צרפת, גרמניה, מלזיה, מרוקו, סינגפור, תאילנד ואנגליה), היצרנית הגדולה ביותר של ציוד לליטוש ולחיתוך מיוחד"
Dixon,"דיקסון, שם משפחה; ג'רמיה דיקסון (1733-1779), אסטרונום ומודד קרקעות אנגלי, היה חבר בצוות שקבע את קו הגבול הידוע בשם קו מייסון-דיקסון; עיר באילינוי"
"Do the Right Thing","&quot;לעשות את הדבר הנכון&quot;, סרט משנת 1989 על היחסים והקשרים הגזעניים באחת משכונות ברוקלין שבניו-יורק (בוים על ידי ספייק לי)"
Doberman,"דוברמן (סוג כלב)"
"Don Yosef Nasi","דון יוסף נשיא (מדינאי יהודי תורכי במאה ה-16)"
Donnan,"דונאן, שם משפחה; עיר באיווה (ארה&quot;ב)"
"Doomsday Book","{באנגליה:} ספר האחוזות"
Doron,"דורון (שם עברי)"
Doyle,"דויל (שם)"
Druid,"דרואיד (חבר במסדר דתי של כמרים בני העמים הקלטיים)"
Dulong,"דולון, שם משפחה; פייר לואי דולון (1838-1785), כימאי ופיסיקאי צרפתי אשר ניסח את חוק דולון-פטי ב-1819 ביחד עם אלקסיס פטי"
"Dungeons & Dragons","(סימן מסחרי) די & די, מבוכים ודרקונים,משחק תפקידים פופולרי בתחום הפנטזיה"
Dushanbe,"דושאנבה, בירת טאג'יקיסטן (מדינה בדרום אסיה)"
"E commerce","מסחר אלקטרוני (פרסום, קנייה ומכירה של מוצרים דרך האינטרנט)"
EC,"הקהילה האירופית, איחוד פוליטי וכלכלי של רוב מדינות מערב אירופה"
ECM,"אמצעי נגד אלקטרוניים (מנצלים את הספקטרום האלקרטומגנטי כדי &quot;לבלבל&quot; את מערכות המכ&quot;ם ואמצעי החישה של האויב)"
"EPS extension","סיומת EPS, סיומת של קובץ פוסטסקריפט ארוז"
ESL,"אנגלית כשפה שנייה, תכנית ללימוד אנגלית בארה&quot;ב המיועדת לתלמידים אשר שפת אימם אינה אנגלית"
"Ear Nose and Throat","אף אוזן גרון, א.א.ג. (ענף ברפואה)"
"East China Sea","ים סין המזרחי (חלק מהאוקיינוס השקט בין סין ודרום יפן)"
Eaton,"איטון, חברה אמריקאית שמרכזה באוהיו, יצרנית רכיבים מכניים ואלקטרוניים (כגון: חצאי מוליכים, מערכות הידראוליות ומכשירי בקרה)"
"Edam cheese","גבינת אדם {ע&quot;ש העיר בהולנד בה היא מיוצרת}"
"Edom Mountains","הרי אדום (שרשרת הרים בשטח ירדן, מול אילת)"
"Edouard Manet","אדוארד מנה (1832-1883), צייר צרפתי אשר סגנונו השפיע רבות על ציירים אימפרסיוניסטים"
"Efraim Kishon","אפרים קישון (1923 – 2005), סופר וסטיריקן ישראלי מוכשר ומצליח שיצירותיו תורגמו לשפות רבות והתפרסמו בעולם כולו"
Egyptianise,"להקנות אופי מצרי; לאמץ מנהגים מצריים; להפוך למצרי; לגרום לאימוץ אופי מצרי (גם Egyptianize)"
"Eighteen Benedictions","תפילת שמונה עשרה"
"Eilat resident","אילתי, תושב אילת, מתגורר באילת"
"Ein Zivan","עין זיוון (קיבוץ ברמת הגולן)"
"Elijah Muhammad","אלייג'ה מוחמד (1897-1975), לאומן אמריקאי שחור ומנהיג לשעבר של אומת האיסלם"
"Emerald Buddha","בודהה מאזמרגד, פסל קדוש של בודהה עשוי מאבן ג'ייד ירוקה שנגלף במהלך המאה ה-15 (שוכן בבנגקוק, תאילנד)"
Emmy,"פרס האמי (פרסים בתחום הטלוויזיה המוענקים מדי שנה בארה&quot;ב); אמי (שם פרטי)"
Enterprise,"אנטרפרייז (עיר באלאבמה, ארה&quot;ב); חברה עולמית להשכרת מכוניות"
"Enterprise Resource Management","שם כולל לתכנות ניהול עסקים (ארגון משאבים, ספירת מלאי, ניהול ספרי חשבונות, ניהול משאבי אנוש וכו'), ERM"
"Eric Abidal","אריק אבידל (נולד ב-1979), שחקן כדורגל צרפתי מליון"
Estevez,"אסטבס, שם משפחה; אמיליו אסטבס (יליד 1962), שחקן קולנוע ובמאי ותסריטאי אמריקאי"
"Ethics of the Fathers","פרקי אבות (מסכת במשנה, מסכת &quot;אבות&quot; בסדר נזיקין)"
Euclidian,"של אויקלידס (מתמטיקאי יווני, אבי הגיאומטריה האויקלידית)"
Euskera,"יוסקרה, השפה הבסקית, שפתם של הבסקים"
Everex,"אוורקס, חברת מחשבים אמריקאית (יצרנית מחשבים נישאים)"
"Evian Conference","ועידת אוויין, ועידה שהתנהלה בצרפת ב-1938 על מנת לדון בבעייה של מציאת בתים בטוחים לפליטים יהודים במהלך מלחמת העולם השנייה"
FAS,"חופשי עד האנייה, מחיר הסחורה כולל הובלת ומסירת הסחורה עד האנייה אך אינו כולל את מחיר טעינת הסחורה על האנייה (מחיר הסחורה כשהקונה פטור מהוצאות הובלה עד לאנייה בלבד)"
FM,"אפנון תדר; אפנון-תדר (שידור של קול או תמונה כך שתדירות הגל משתנה ואילו עצמת גלי האותות נשארת אחידה, מודולציה עפ&quot;י תדר)"
"Fear No Evil","&quot;לא אירע רע&quot; , ספר שנכתב על ידי נתן שרנסקי המספר את החוויות שחווה בבתי-סוהר הסובייטים בהיותו &quot;אסיר ציון&quot;"
"Fear Uncertainty Doubt","פחד, אי ביטחון, ספק (טכניקות מכירה באמצעות הפחדה בהן משתמשים יצרנים מובילים כדי לשכנע לקוחות לקנות את מוצריהם) , FUD"
"Feast of the Resurrection","פסחא, חג נוצרי הנחגג להנצחת תחייתו של ישו"
"Federal Reserve Bank","בנק פדרל ריזרב, אחד מ-12 הבנקים האזוריים בארה&quot;ב המחזיק בכספים של בנקים אחרים המנוהלים אצלו ומלווה כספים לבנקים מסונפים באזור שלו"
"Festival of the First Fruits","חג הביכורים"
Fidelia,"פידליה, שם פרטי לנקבה"
Filofax,"(סימן מסחרי) פילופקס, אירגונית אישית"
"First Consul","&quot;הקונסול הראשון&quot;, כינוי של ראש המדינה ברומא העתיקה; אחד מכינוייו של נפוליאון בונפרטה"
Florrie,"פלורי, שם פרטי לנקבה"
Fokker,"פוקר, שם משפחה; אנטוני פוקר, אנטוני הרמן ג'ררד פוקר (1890-1939), יצרן כלי-תעופה אמריקאי יליד הולנד שהקים את מפעל המטוסים של אמריקה"
Fonda,"פונדה, שם משפחה; הנרי פונדה (1905-1982), שחקן קולנוע אמריקאי; ג''יין פונדה (ילידת 1937), שחקנית קולנוע אמריקאית (בתו של הנרי פונדה)"
Ford,"פורד, שם משפחה, שם פרטי; ג'רלד פורד (נולד ב-1913), הנשיא ה-38 של ארה&quot;ב (77-1974); הנרי פורד (1947-1863), יצרן רכב אמריקאי (מייסדה של Ford Motor Co) ; שם מותג של מכונית אמריקאית"
Fortuna,"פורטונה, שם פרטי לנקבה; שם משפחה; אלילת הגורל (במיתולוגיה הרומית); שמן של מספר ערים ועיירות בארצות הברית"
Fr,"פרנציום, יסוד כימי רדיואקטיבי (כימיה)"
"Frances Willard","פרנסיס ווילארד, פרנסיס אליזבת קרוליין ווילארד (1839-1898), רפורמטורית וסופרג'יסטית אמריקאית שדגלה בהרחבת זכויות הנשים ותמכה בתנועה הסופרג'יסטית"
Francoism,"&quot;פרנקויזם&quot;, התקופה שבה ספרד הייתה תחת שלטונו של פרנסיסקו פרנקו"
Francophile,"אוהב צרפתים; אוהב צרפת"
Frankfurt,"פרנקפורט, עיר בגרמניה"
"Franklin Delano Roosevelt","פרנקלין דלנו רוזוולט, &quot;אפ די אר&quot; (1882-1945), מדינאי אמריקאי, הנשיא ה-32 של ארצות הברית (1933-1945), חילץ את ארה&quot;ב מן תקופת השפל הכלכלי באמצעות תוכניות השיקום שלו שנקראו באופן קולקטיבי &quot;ניו דיל&quot;"
"Franklin Roosevelt","פרנקלין רוזוולט (1945-1882), נשיאה ה-32 של ארה&quot;ב (45-1933)"
Fred,"פרד (שם)"
French,"צרפתית, השפה המדוברת בצרפת; שפה המדוברת במספר מדינות (כגון: קנדה, אזורים בבלגיה, שוויץ, מדינות מסוימות באפריקה ובאיים הקאריביים ועוד); צרפתים, שם כולל לתושבי צרפת; שפה בוטה"
"French Riviera","הרביירה הצרפתית (חוף הים הצרפתי ממרסי עד הגבול האיטלקי)"
Fresno,"פרזנו (עיר בקליפורניה, ארה&quot;ב)"
Fri.,"יום שישי"
Friday,"יום ששי; ששת, משרת נאמן"
"Friedrich II","פרידריך הגדול (1712-1786) מלך פרוסיה במאה ה-18 (1740-1786)"
Frigg,"(מיתולוגיה נורדית) מנהיגת האלות, אלת השמים ואשתו של אודין"
Funafuti,"פונאפוטי, עיר הבירה של טובאלו (מדינת איים במרכז האוקיינוס השקט)"
Fyodor,"פיידור, שם פרטי לזכר"
G7,"(קיצור של:) קבוצה של 7"
GMO,"יצור חי (אורגניזם) שהגנים שלו עברו שינוי במכוון"
